,City Name,Country Code,Date,Latitude,Longitude,Humidity,Max Temperature,Cloudiness,Wind Speed
0,georgetown,sh,03/13/18,-7.93,-14.42,100,78.83,0,11.68
1,avarua,ck,03/13/18,-21.21,-159.78,94,78.8,90,3.36
2,atuona,pf,03/13/18,-9.8,-139.03,100,79.82,88,9.78
3,albany,au,03/13/18,-35.02,117.88,85,68.48,92,6.31
4,rikitea,pf,03/13/18,-23.12,-134.97,100,80.18,20,7.76
5,shiraz,ir,03/13/18,29.61,52.54,29,51.8,0,4.7
6,vaitape,pf,03/13/18,-16.52,-151.75,100,81.53,32,9.78
7,barrow,us,03/13/18,39.51,-90.4,37,42.8,1,17.22
8,togur,ru,03/13/18,58.36,82.83,74,-10.82,20,7.65
9,tasiilaq,gl,03/13/18,65.61,-37.64,47,14.0,0,1.12
10,ayr,au,03/13/18,-19.58,147.4,85,79.91,0,13.24
11,rocha,uy,03/13/18,-34.48,-54.34,46,67.31,0,10.45
12,povenets,ru,03/13/18,62.85,34.83,96,34.01,92,3.29
13,upernavik,gl,03/13/18,72.79,-56.15,98,2.06,64,1.61
14,ushuaia,ar,03/13/18,-54.81,-68.31,49,46.4,20,6.93
15,tiksi,ru,03/13/18,71.64,128.87,56,-32.24,20,2.95
16,nikolskoye,ru,03/13/18,59.7,30.79,93,37.4,90,8.95
17,busselton,au,03/13/18,-33.64,115.35,100,70.1,92,12.01
18,ponta do sol,cv,03/13/18,17.2,-25.09,99,71.27,0,15.82
19,tommot,ru,03/13/18,58.97,126.27,66,-1.55,36,6.42
20,honningsvag,no,03/13/18,70.98,25.97,100,24.47,76,9.78
21,hilo,us,03/13/18,19.71,-155.08,83,71.6,90,9.17
22,chicama,pe,03/13/18,-7.84,-79.15,93,66.2,75,8.05
23,tairua,nz,03/13/18,-37.02,175.85,60,69.83,0,6.98
24,bredasdorp,za,03/13/18,-34.53,20.04,72,68.0,92,1.12
25,esperance,au,03/13/18,-33.86,121.89,63,69.47,76,16.26
26,duldurga,ru,03/13/18,50.67,113.59,51,2.96,0,12.46
27,ust-kuyga,ru,03/13/18,70.0,135.55,47,-29.27,36,3.06
28,bethel,us,03/13/18,60.79,-161.76,85,19.4,90,5.82
29,punta arenas,cl,03/13/18,-53.16,-70.91,75,41.0,40,21.18
30,ilhabela,br,03/13/18,-23.78,-45.36,100,78.56,56,14.47
31,jatai,br,03/13/18,-17.88,-51.71,82,76.13,24,2.28
32,komsomolskiy,ru,03/13/18,67.55,63.78,69,-10.19,0,16.82
33,kavieng,pg,03/13/18,-2.57,150.8,100,84.14,92,9.44
34,port elizabeth,za,03/13/18,-33.92,25.57,88,68.0,0,20.8
35,norman wells,ca,03/13/18,65.28,-126.83,55,35.6,75,4.7
36,dikson,ru,03/13/18,73.51,80.55,93,-4.34,44,17.6
37,frutal,br,03/13/18,-20.02,-48.93,84,77.03,12,2.17
38,cidreira,br,03/13/18,-30.17,-50.22,69,69.38,88,5.64
39,port alfred,za,03/13/18,-33.59,26.89,92,70.28,36,11.01
